;Source;Instance;GA;Gurobi;Literature;GA Best Gap;Gurobi Best Gap;Literature Best Gap;GA Literature Gap;Gurobi Literature Gap;GA/Gurobi;GA/Literature;n_machines;n_operations;beta_flexibility;duration_variety
112;6_Fattahi;13;466.0;466;466.0;0.0;0.0;0.0;0.0;0.0;o;o;7;18;0.38571428571428573;0.7083333333333334
113;6_Fattahi;14;554.0;554;554.0;0.0;0.0;0.0;0.0;0.0;o;o;7;21;0.38571428571428573;0.7142857142857143
114;6_Fattahi;15;514.0;514;514.0;0.0;0.0;0.0;0.0;0.0;o;o;7;21;0.37142857142857144;0.6909090909090909
115;6_Fattahi;16;634.0;634;634.0;0.0;0.0;0.0;0.0;0.0;o;o;7;24;0.37142857142857144;0.6774193548387096
116;6_Fattahi;17;879.0;879;879.0;0.0;0.0;0.0;0.0;0.0;o;o;7;32;0.34285714285714286;0.5897435897435898
117;6_Fattahi;18;884.0;884;884.0;0.0;0.0;0.0;0.0;0.0;o;o;8;36;0.3;0.5465116279069767
118;6_Fattahi;19;1060.0;1080;1070.0;0.0;0.018867924528301886;0.009433962264150943;-0.009345794392523364;0.009345794392523364;+;+;8;44;0.2875;0.4563106796116505
119;6_Fattahi;20;1225.0;1214;1208.0;0.014072847682119206;0.004966887417218543;0.0;0.014072847682119206;0.004966887417218543;-;-;8;48;0.2875;0.45535714285714285
120;3_DPpaulli;1;2606.0;2673;2518.0;0.03494837172359015;0.06155679110405084;0.0;0.03494837172359015;0.06155679110405084;+;-;5;196;0.2;0.3755656108597285
121;3_DPpaulli;2;2320.0;2348;2231.0;0.03989242492155984;0.05244285073957866;0.0;0.03989242492155984;0.05244285073957866;+;-;5;196;0.2;0.25
122;3_DPpaulli;3;2268.0;2303;2229.0;0.017496635262449527;0.03319874383131449;0.0;0.017496635262449527;0.03319874383131449;+;-;5;196;0.2;0.1656686626746507
123;3_DPpaulli;4;2600.0;2624;2503.0;0.03875349580503396;0.04834198961246504;0.0;0.03875349580503396;0.04834198961246504;+;-;5;196;0.2;0.3574660633484163
124;3_DPpaulli;5;2310.0;2399;2216.0;0.042418772563176894;0.0825812274368231;0.0;0.042418772563176894;0.0825812274368231;+;-;5;196;0.2;0.25301204819277107
125;3_DPpaulli;6;2265.0;2316;2196.0;0.031420765027322405;0.0546448087431694;0.0;0.031420765027322405;0.0546448087431694;+;-;5;196;0.2;0.16966067864271456
126;3_DPpaulli;7;2584.0;2513;2283.0;0.13184406482698205;0.10074463425317565;0.0;0.13184406482698205;0.10074463425317565;-;-;8;293;0.125;0.24725274725274726
127;3_DPpaulli;8;2197.0;2285;2069.0;0.061865635572740454;0.10439826002899952;0.0;0.061865635572740454;0.10439826002899952;+;-;8;293;0.125;0.1271186440677966
128;3_DPpaulli;9;2208.0;2157;2064.0;0.06976744186046512;0.04505813953488372;0.0;0.06976744186046512;0.04505813953488372;-;-;8;293;0.125;0.07614213197969544
129;3_DPpaulli;10;2577.0;2610;2291.0;0.12483631601920558;0.13924050632911392;0.0;0.12483631601920558;0.13924050632911392;+;-;8;293;0.125;0.23076923076923078
130;3_DPpaulli;11;2215.0;2284;2063.0;0.07367910809500727;0.1071255453223461;0.0;0.07367910809500727;0.1071255453223461;+;-;8;293;0.125;0.12429378531073447
131;3_DPpaulli;12;2197.0;2379;2030.0;0.08226600985221674;0.17192118226600986;0.0;0.08226600985221674;0.17192118226600986;+;-;8;293;0.125;0.07445008460236886
132;3_DPpaulli;13;2618.0;2549;2257.0;0.1599468320779796;0.12937527691626052;0.0;0.1599468320779796;0.12937527691626052;-;-;10;387;0.1;0.17567567567567569
133;3_DPpaulli;14;2431.0;2315;2167.0;0.1218274111675127;0.06829718504845408;0.0;0.1218274111675127;0.06829718504845408;-;-;10;387;0.1;0.078719723183391
134;3_DPpaulli;15;2621.0;2672;2164.0;0.2111829944547135;0.23475046210720887;0.0;0.2111829944547135;0.23475046210720887;+;-;10;387;0.1;0.04688304997424008
135;3_DPpaulli;16;2565.0;2450;2255.0;0.13747228381374724;0.08647450110864745;0.0;0.13747228381374724;0.08647450110864745;-;-;10;387;0.1;0.16602316602316602
136;3_DPpaulli;17;2819.0;2297;2140.0;0.3172897196261682;0.07336448598130842;0.0;0.3172897196261682;0.07336448598130842;-;-;10;387;0.1;0.07612456747404844
137;3_DPpaulli;18;2744.0;3216;2127.0;0.29007992477668076;0.5119887165021156;0.0;0.29007992477668076;0.5119887165021156;+;-;10;387;0.1;0.04585265327150953
138;2a_Hurink_sdata;1;55.0;55;10000000.0;0.0;0.0;181817.18181818182;-0.9999945;-0.9999945;o;+;6;36;0.16666666666666666;0.25
139;2a_Hurink_sdata;2;974.0;930;10000000.0;0.047311827956989246;0.0;10751.68817204301;-0.9999026;-0.999907;-;+;10;100;0.1;0.59
140;2a_Hurink_sdata;3;1181.0;1177;10000000.0;0.0033984706881903144;0.0;8495.176720475785;-0.9998819;-0.9998823;-;+;5;100;0.2;0.59
141;2a_Hurink_sdata;4;666.0;666;10000000.0;0.0;0.0;15014.015015015015;-0.9999334;-0.9999334;o;+;5;50;0.2;0.76
142;2a_Hurink_sdata;5;655.0;655;10000000.0;0.0;0.0;15266.175572519083;-0.9999345;-0.9999345;o;+;5;50;0.2;0.78
143;2a_Hurink_sdata;6;604.0;597;10000000.0;0.011725293132328308;0.0;16749.418760469012;-0.9999396;-0.9999403;-;+;5;50;0.2;0.78
144;2a_Hurink_sdata;7;590.0;590;10000000.0;0.0;0.0;16948.15254237288;-0.999941;-0.999941;o;+;5;50;0.2;0.74
145;2a_Hurink_sdata;8;593.0;593;10000000.0;0.0;0.0;16862.406408094434;-0.9999407;-0.9999407;o;+;5;50;0.2;0.8
146;2a_Hurink_sdata;9;926.0;926;10000000.0;0.0;0.0;10798.136069114471;-0.9999074;-0.9999074;o;+;5;75;0.2;0.68
147;2a_Hurink_sdata;10;890.0;890;10000000.0;0.0;0.0;11234.955056179775;-0.999911;-0.999911;o;+;5;75;0.2;0.7066666666666667
148;2a_Hurink_sdata;11;863.0;863;10000000.0;0.0;0.0;11586.485515643106;-0.9999137;-0.9999137;o;+;5;75;0.2;0.6666666666666666
149;2a_Hurink_sdata;12;951.0;951;10000000.0;0.0;0.0;10514.247108307045;-0.9999049;-0.9999049;o;+;5;75;0.2;0.6533333333333333
150;2a_Hurink_sdata;13;958.0;958;10000000.0;0.0;0.0;10437.413361169103;-0.9999042;-0.9999042;o;+;5;75;0.2;0.7733333333333333
151;2a_Hurink_sdata;14;1222.0;1222;10000000.0;0.0;0.0;8182.306055646482;-0.9998778;-0.9998778;o;+;5;100;0.2;0.61
152;2a_Hurink_sdata;15;1039.0;1039;10000000.0;0.0;0.0;9623.63907603465;-0.9998961;-0.9998961;o;+;5;100;0.2;0.57
153;2a_Hurink_sdata;16;1150.0;1150;10000000.0;0.0;0.0;8694.652173913044;-0.999885;-0.999885;o;+;5;100;0.2;0.61
154;2a_Hurink_sdata;17;1292.0;1292;10000000.0;0.0;0.0;7738.938080495356;-0.9998708;-0.9998708;o;+;5;100;0.2;0.65
155;2a_Hurink_sdata;18;1207.0;1207;10000000.0;0.0;0.0;8284.004142502072;-0.9998793;-0.9998793;o;+;5;100;0.2;0.66
156;2a_Hurink_sdata;19;964.0;945;10000000.0;0.020105820105820106;0.0;10581.010582010582;-0.9999036;-0.9999055;-;+;10;100;0.1;0.61
157;2a_Hurink_sdata;20;789.0;784;10000000.0;0.006377551020408163;0.0;12754.102040816326;-0.9999211;-0.9999216;-;+;10;100;0.1;0.57
158;2a_Hurink_sdata;21;855.0;848;10000000.0;0.008254716981132075;0.0;11791.452830188678;-0.9999145;-0.9999152;-;+;10;100;0.1;0.61
159;2a_Hurink_sdata;22;842.0;842;10000000.0;0.0;0.0;11875.484560570072;-0.9999158;-0.9999158;o;+;10;100;0.1;0.65
160;2a_Hurink_sdata;23;921.0;902;10000000.0;0.02106430155210643;0.0;11085.474501108647;-0.9999079;-0.9999098;-;+;10;100;0.1;0.66
